Prices;Strike;Maturity;r;q;Option_type
0.016674;0.989089;0.019231;-0.012980;0.007070;-1.000000
0.023612;0.995547;0.038462;-0.014530;0.005840;-1.000000
0.030153;1.001615;0.057692;-0.013320;0.007120;-1.000000
0.038534;1.009334;0.083333;-0.012250;0.008670;-1.000000
0.053013;1.021584;0.166667;-0.012750;0.010020;-1.000000
0.067396;1.033889;0.250000;-0.012470;0.010230;-1.000000
0.080458;1.044907;0.333333;-0.011940;0.010650;-1.000000
0.102449;1.062368;0.500000;-0.012200;0.011160;-1.000000
0.129351;1.082317;0.750000;-0.012420;0.011660;-1.000000
0.158503;1.104470;1.000000;-0.012370;0.011970;-1.000000
0.012976;0.985142;0.019231;-0.012980;0.007070;-1.000000
0.018331;0.989919;0.038462;-0.014530;0.005840;-1.000000
0.023434;0.994456;0.057692;-0.013320;0.007120;-1.000000
0.029747;0.999997;0.083333;-0.012250;0.008670;-1.000000
0.040608;1.008456;0.166667;-0.012750;0.010020;-1.000000
0.051113;1.016734;0.250000;-0.012470;0.010230;-1.000000
0.060855;1.024299;0.333333;-0.011940;0.010650;-1.000000
0.076986;1.035724;0.500000;-0.012200;0.011160;-1.000000
0.096698;1.048338;0.750000;-0.012420;0.011660;-1.000000
0.117481;1.062038;1.000000;-0.012370;0.011970;-1.000000
0.010728;0.982612;0.019231;-0.012980;0.007070;-1.000000
0.015133;0.986328;0.038462;-0.014530;0.005840;-1.000000
0.019361;0.989883;0.057692;-0.013320;0.007120;-1.000000
0.024456;0.994085;0.083333;-0.012250;0.008670;-1.000000
0.033225;1.000254;0.166667;-0.012750;0.010020;-1.000000
0.041503;1.006136;0.250000;-0.012470;0.010230;-1.000000
0.049363;1.011656;0.333333;-0.011940;0.010650;-1.000000
0.062146;1.019508;0.500000;-0.012200;0.011160;-1.000000
0.077850;1.027882;0.750000;-0.012420;0.011660;-1.000000
0.094164;1.036921;1.000000;-0.012370;0.011970;-1.000000
0.007807;0.979034;0.019231;-0.012980;0.007070;-1.000000
0.011000;0.981276;0.038462;-0.014530;0.005840;-1.000000
0.014087;0.983439;0.057692;-0.013320;0.007120;-1.000000
0.017690;0.985870;0.083333;-0.012250;0.008670;-1.000000
0.023896;0.989015;0.166667;-0.012750;0.010020;-1.000000
0.029579;0.991910;0.250000;-0.012470;0.010230;-1.000000
0.035125;0.994733;0.333333;-0.011940;0.010650;-1.000000
0.044024;0.998142;0.500000;-0.012200;0.011160;-1.000000
0.054919;1.001102;0.750000;-0.012420;0.011660;-1.000000
0.066082;1.004447;1.000000;-0.012370;0.011970;-1.000000
0.005863;0.976290;0.019231;-0.012980;0.007070;-1.000000
