Prices;Strike;Maturity;r;q;Option_type
0.023285659;0.995618888;0.019230769;-0.01298;0.00707;-1
0.029633239;1.001493086;0.038461538;-0.01453;0.00584;-1
0.036233915;1.007620012;0.057692308;-0.01332;0.00712;-1
0.044235032;1.014962858;0.083333333;-0.01225;0.00867;-1
0.060515853;1.028985661;0.166666667;-0.01275;0.01002;-1
0.077150173;1.043505717;0.25;-0.01247;0.01023;-1
0.091675083;1.055959838;0.333333333;-0.01194;0.01065;-1
0.11658442;1.07627295;0.5;-0.0122;0.01116;-1
0.147415622;1.100038363;0.75;-0.01242;0.01166;-1
0.178942528;1.124470556;1;-0.01237;0.01197;-1
0.016109644;0.988166657;0.019230769;-0.01298;0.00707;-1
0.021144579;0.992634899;0.038461538;-0.01453;0.00584;-1
0.026267477;0.997191795;0.057692308;-0.01332;0.00712;-1
0.032397941;1.002557173;0.083333333;-0.01225;0.00867;-1
0.04408559;1.011814093;0.166666667;-0.01275;0.01002;-1
0.055615738;1.021080223;0.25;-0.01247;0.01023;-1
0.066016399;1.02927985;0.333333333;-0.01194;0.01065;-1
0.083460272;1.041965898;0.5;-0.0122;0.01116;-1
0.104917707;1.056248008;0.75;-0.01242;0.01166;-1
0.126726756;1.070920706;1;-0.01237;0.01197;-1
0.012682782;0.984434214;0.019230769;-0.01298;0.00707;-1
0.016896772;0.987972308;0.038461538;-0.01453;0.00584;-1
0.021138518;0.991541248;0.057692308;-0.01332;0.00712;-1
0.026119025;0.995637311;0.083333333;-0.01225;0.00867;-1
0.035403416;1.002289477;0.166666667;-0.01275;0.01002;-1
0.04431999;1.008768145;0.25;-0.01247;0.01023;-1
0.052587437;1.014671157;0.333333333;-0.01194;0.01065;-1
0.06617698;1.023277453;0.5;-0.0122;0.01116;-1
0.082956842;1.03265392;0.75;-0.01242;0.01166;-1
0.099887156;1.042265638;1;-0.01237;0.01197;-1
0.008856094;0.97989845;0.019230769;-0.01298;0.00707;-1
0.011950553;0.982060802;0.038461538;-0.01453;0.00584;-1
0.015045931;0.984231769;0.057692308;-0.01332;0.00712;-1
0.018586239;0.986612724;0.083333333;-0.01225;0.00867;-1
0.025068469;0.989990352;0.166666667;-0.01275;0.01002;-1
0.031092784;0.993172295;0.25;-0.01247;0.01023;-1
0.036853668;0.996178441;0.333333333;-0.01194;0.01065;-1
0.046183158;0.999954163;0.5;-0.0122;0.01116;-1
0.057642854;1.003397465;0.75;-0.01242;0.01166;-1
0.069131816;1.007026433;1;-0.01237;0.01197;-1
0.006538845;0.976716393;0.019230769;-0.01298;0.00707;-1
0.008871566;0.977804005;0.038461538;-0.01453;0.00584;-1
0.01118736;0.978892317;0.057692308;-0.01332;0.00712;-1
0.013812719;0.980025001;0.083333333;-0.01225;0.00867;-1
0.018577105;0.981109783;0.166666667;-0.01275;0.01002;-1
0.022980701;0.982161457;0.25;-0.01247;0.01023;-1
0.027200132;0.983150786;0.333333333;-0.01194;0.01065;-1
0.034042995;0.983713371;0.5;-0.0122;0.01116;-1
0.042441905;0.983285294;0.75;-0.01242;0.01166;-1
0.050800712;0.983056257;1;-0.01237;0.01197;-1
0.004147986;0.972683015;0.019230769;-0.01298;0.00707;1
0.005629737;0.972346265;0.038461538;-0.01453;0.00584;1
0.007056963;0.972027195;0.057692308;-0.01332;0.00712;1
0.008650336;0.971574172;0.083333333;-0.01225;0.00867;1
0.011500187;0.969821623;0.166666667;-0.01275;0.01002;1
0.014066582;0.968284018;0.25;-0.01247;0.01023;1
0.016459637;0.966823774;0.333333333;-0.01194;0.01065;1
0.020195436;0.963502177;0.5;-0.0122;0.01116;1
0.024554132;0.958465498;0.75;-0.01242;0.01166;1
0.028676806;0.953784824;1;-0.01237;0.01197;1
0.006670353;0.968521203;0.019230769;-0.01298;0.00707;1
0.009081397;0.966669966;0.038461538;-0.01453;0.00584;1
0.011341181;0.964920515;0.057692308;-0.01332;0.00712;1
0.013895267;0.96283903;0.083333333;-0.01225;0.00867;1
0.018573083;0.958068056;0.166666667;-0.01275;0.01002;1
0.022829644;0.953748713;0.25;-0.01247;0.01023;1
0.02676629;0.949666861;0.333333333;-0.01194;0.01065;1
0.032996122;0.942097706;0.5;-0.0122;0.01116;1
0.04040694;0.931807749;0.75;-0.01242;0.01166;1
0.047580528;0.921862689;1;-0.01237;0.01197;1
0.009244526;0.965081266;0.019230769;-0.01298;0.00707;1
0.012584221;0.961984618;0.038461538;-0.01453;0.00584;1
0.015640836;0.95912567;0.057692308;-0.01332;0.00712;1
0.019131488;0.955759474;0.083333333;-0.01225;0.00867;1
