Prices;Strike;Maturity;r;q;Option_type
0.000126;0.982617;0.019231;-0.012980;0.007070;1.000000
0.000218;0.989649;0.038462;-0.014530;0.005840;1.000000
0.000296;0.995659;0.057692;-0.013320;0.007120;1.000000
0.000400;1.003748;0.083333;-0.012250;0.008670;1.000000
0.000548;1.014253;0.166667;-0.012750;0.010020;1.000000
0.000686;1.024392;0.250000;-0.012470;0.010230;1.000000
0.000815;1.034010;0.333333;-0.011940;0.010650;1.000000
0.000934;1.042751;0.416667;-0.012330;0.010940;1.000000
0.001037;1.050274;0.500000;-0.012200;0.011160;1.000000
0.001328;1.071959;0.750000;-0.012420;0.011660;1.000000
0.001583;1.091591;1.000000;-0.012370;0.011970;1.000000
0.000347;0.982132;0.019231;-0.012980;0.007070;1.000000
0.000544;0.987214;0.038462;-0.014530;0.005840;1.000000
0.000718;0.991731;0.057692;-0.013320;0.007120;1.000000
0.000937;0.997447;0.083333;-0.012250;0.008670;1.000000
0.001269;1.005116;0.166667;-0.012750;0.010020;1.000000
0.001576;1.012416;0.250000;-0.012470;0.010230;1.000000
0.001863;1.019356;0.333333;-0.011940;0.010650;1.000000
0.002123;1.025338;0.416667;-0.012330;0.010940;1.000000
0.002347;1.030524;0.500000;-0.012200;0.011160;1.000000
0.002971;1.044794;0.750000;-0.012420;0.011660;1.000000
0.003516;1.057542;1.000000;-0.012370;0.011970;1.000000
0.000606;0.980797;0.019231;-0.012980;0.007070;1.000000
0.000917;0.984689;0.038462;-0.014530;0.005840;1.000000
0.001200;0.988230;0.057692;-0.013320;0.007120;1.000000
0.001544;0.992537;0.083333;-0.012250;0.008670;1.000000
0.002079;0.998227;0.166667;-0.012750;0.010020;1.000000
0.002564;1.003516;0.250000;-0.012470;0.010230;1.000000
0.003026;1.008658;0.333333;-0.011940;0.010650;1.000000
0.003434;1.012806;0.416667;-0.012330;0.010940;1.000000
0.003790;1.016455;0.500000;-0.012200;0.011160;1.000000
0.004772;1.026175;0.750000;-0.012420;0.011660;1.000000
0.005620;1.034545;1.000000;-0.012370;0.011970;1.000000
0.001211;0.978172;0.019231;-0.012980;0.007070;1.000000
0.001790;0.980494;0.038462;-0.014530;0.005840;1.000000
0.002327;0.982649;0.057692;-0.013320;0.007120;1.000000
0.002957;0.985129;0.083333;-0.012250;0.008670;1.000000
0.003956;0.988043;0.166667;-0.012750;0.010020;1.000000
0.004838;0.990653;0.250000;-0.012470;0.010230;1.000000
0.005698;0.993293;0.333333;-0.011940;0.010650;1.000000
