Prices;Strike;Maturity;r;q;Option_type
0.016674;0.989089;0.019231;0.007070;-0.012980;-1.000000
0.023612;0.995547;0.038462;0.005840;-0.014530;-1.000000
0.030153;1.001615;0.057692;0.007120;-0.013320;-1.000000
0.038534;1.009334;0.083333;0.008670;-0.012250;-1.000000
0.053013;1.021584;0.166667;0.010020;-0.012750;-1.000000
0.067396;1.033889;0.250000;0.010230;-0.012470;-1.000000
0.080458;1.044907;0.333333;0.010650;-0.011940;-1.000000
0.102449;1.062368;0.500000;0.011160;-0.012200;-1.000000
0.129351;1.082317;0.750000;0.011660;-0.012420;-1.000000
0.158503;1.104470;1.000000;0.011970;-0.012370;-1.000000
0.012976;0.985142;0.019231;0.007070;-0.012980;-1.000000
0.018331;0.989919;0.038462;0.005840;-0.014530;-1.000000
0.023434;0.994456;0.057692;0.007120;-0.013320;-1.000000
0.029747;0.999997;0.083333;0.008670;-0.012250;-1.000000
0.040608;1.008456;0.166667;0.010020;-0.012750;-1.000000
0.051113;1.016734;0.250000;0.010230;-0.012470;-1.000000
0.060855;1.024299;0.333333;0.010650;-0.011940;-1.000000
0.076986;1.035724;0.500000;0.011160;-0.012200;-1.000000
0.096698;1.048338;0.750000;0.011660;-0.012420;-1.000000
0.117481;1.062038;1.000000;0.011970;-0.012370;-1.000000
0.010728;0.982612;0.019231;0.007070;-0.012980;-1.000000
0.015133;0.986328;0.038462;0.005840;-0.014530;-1.000000
0.019361;0.989883;0.057692;0.007120;-0.013320;-1.000000
0.024456;0.994085;0.083333;0.008670;-0.012250;-1.000000
0.033225;1.000254;0.166667;0.010020;-0.012750;-1.000000
0.041503;1.006136;0.250000;0.010230;-0.012470;-1.000000
0.049363;1.011656;0.333333;0.010650;-0.011940;-1.000000
0.062146;1.019508;0.500000;0.011160;-0.012200;-1.000000
0.077850;1.027882;0.750000;0.011660;-0.012420;-1.000000
0.094164;1.036921;1.000000;0.011970;-0.012370;-1.000000
0.007807;0.979034;0.019231;0.007070;-0.012980;-1.000000
0.011000;0.981276;0.038462;0.005840;-0.014530;-1.000000
0.014087;0.983439;0.057692;0.007120;-0.013320;-1.000000
0.017690;0.985870;0.083333;0.008670;-0.012250;-1.000000
0.023896;0.989015;0.166667;0.010020;-0.012750;-1.000000
0.029579;0.991910;0.250000;0.010230;-0.012470;-1.000000
0.035125;0.994733;0.333333;0.010650;-0.011940;-1.000000
0.044024;0.998142;0.500000;0.011160;-0.012200;-1.000000
0.054919;1.001102;0.750000;0.011660;-0.012420;-1.000000
0.066082;1.004447;1.000000;0.011970;-0.012370;-1.000000
0.005863;0.976290;0.019231;0.007070;-0.012980;-1.000000
0.008258;0.977415;0.038462;0.005840;-0.014530;-1.000000
0.010569;0.978498;0.057692;0.007120;-0.013320;-1.000000
0.013234;0.979654;0.083333;0.008670;-0.012250;-1.000000
0.017821;0.980620;0.166667;0.010020;-0.012750;-1.000000
0.022005;0.981523;0.250000;0.010230;-0.012470;-1.000000
0.026085;0.982415;0.333333;0.010650;-0.011940;-1.000000
0.032652;0.982783;0.500000;0.011160;-0.012200;-1.000000
0.040687;0.982093;0.750000;0.011660;-0.012420;-1.000000
0.048839;0.981704;1.000000;0.011970;-0.012370;-1.000000
0.003755;0.972673;0.019231;0.007070;-0.012980;1.000000
0.005277;0.972333;0.038462;0.005840;-0.014530;1.000000
0.006704;0.972010;0.057692;0.007120;-0.013320;1.000000
0.008324;0.971555;0.083333;0.008670;-0.012250;1.000000
0.011082;0.969787;0.166667;0.010020;-0.012750;1.000000
0.013537;0.968229;0.250000;0.010230;-0.012470;1.000000
0.015865;0.966749;0.333333;0.010650;-0.011940;1.000000
0.019476;0.963385;0.500000;0.011160;-0.012200;1.000000
0.023683;0.958282;0.750000;0.011660;-0.012420;1.000000
0.027737;0.953539;1.000000;0.011970;-0.012370;1.000000
0.006011;0.968924;0.019231;0.007070;-0.012980;1.000000
0.008489;0.967029;0.038462;0.005840;-0.014530;1.000000
0.010749;0.965277;0.057692;0.007120;-0.013320;1.000000
0.013347;0.963167;0.083333;0.008670;-0.012250;1.000000
0.017869;0.958484;0.166667;0.010020;-0.012750;1.000000
0.021937;0.954269;0.250000;0.010230;-0.012470;1.000000
0.025762;0.950246;0.333333;0.010650;-0.011940;1.000000
0.031779;0.942786;0.500000;0.011160;-0.012200;1.000000
0.038922;0.932628;0.750000;0.011660;-0.012420;1.000000
0.045968;0.922733;1.000000;0.011970;-0.012370;1.000000
0.008224;0.965912;0.019231;0.007070;-0.012980;1.000000
0.011669;0.962727;0.038462;0.005840;-0.014530;1.000000
0.014727;0.959865;0.057692;0.007120;-0.013320;1.000000
0.018286;0.956442;0.083333;0.008670;-0.012250;1.000000
0.024603;0.949379;0.166667;0.010020;-0.012750;1.000000
0.030312;0.943001;0.250000;0.010230;-0.012470;1.000000
0.035568;0.937033;0.333333;0.010650;-0.011940;1.000000
0.043876;0.926499;0.500000;0.011160;-0.012200;1.000000
0.053714;0.912743;0.750000;0.011660;-0.012420;1.000000
0.063517;0.899235;1.000000;0.011970;-0.012370;1.000000
0.011643;0.961809;0.019231;0.007070;-0.012980;1.000000
0.016595;0.956833;0.038462;0.005840;-0.014530;1.000000
0.020823;0.952535;0.057692;0.007120;-0.013320;1.000000
0.025971;0.947228;0.083333;0.008670;-0.012250;1.000000
0.035142;0.936797;0.166667;0.010020;-0.012750;1.000000
0.043581;0.927239;0.250000;0.010230;-0.012470;1.000000
0.051106;0.918567;0.333333;0.010650;-0.011940;1.000000
0.063183;0.903613;0.500000;0.011160;-0.012200;1.000000
0.077341;0.884793;0.750000;0.011660;-0.012420;1.000000
0.091704;0.866024;1.000000;0.011970;-0.012370;1.000000
0.014321;0.958826;0.019231;0.007070;-0.012980;1.000000
0.020460;0.952534;0.038462;0.005840;-0.014530;1.000000
0.025589;0.947220;0.057692;0.007120;-0.013320;1.000000
0.032003;0.940514;0.083333;0.008670;-0.012250;1.000000
0.043462;0.927562;0.166667;0.010020;-0.012750;1.000000
0.054109;0.915587;0.250000;0.010230;-0.012470;1.000000
0.063435;0.904922;0.333333;0.010650;-0.011940;1.000000
0.078737;0.886467;0.500000;0.011160;-0.012200;1.000000
0.096107;0.864109;0.750000;0.011660;-0.012420;1.000000
0.114233;0.841286;1.000000;0.011970;-0.012370;1.000000
0.018746;0.954122;0.019231;0.007070;-0.012980;1.000000
0.026892;0.945706;0.038462;0.005840;-0.014530;1.000000
0.033483;0.938829;0.057692;0.007120;-0.013320;1.000000
0.042014;0.929881;0.083333;0.008670;-0.012250;1.000000
